Altura,Latitud,Longitud
866,-89.3553655667,0.251760261891
865,-89.3561681947,0.250238714619
864,-89.3569708136,0.248717772538
863,-89.3577734236,0.247197435641
862,-89.3585760245,0.245677703922
861,-89.3593786165,0.244158577375
860,-89.3601811996,0.242640055993
859,-89.3609837738,0.241122139772
858,-89.3617863391,0.239604828705
857,-89.3625888955,0.238088122786
856,-89.363391443,0.236572022009
855,-89.3641939817,0.235056526367
854,-89.3649965116,0.233541635856
853,-89.3657990327,0.232027350469
852,-89.366601545,0.2305136702
851,-89.3674040486,0.229000595042
850,-89.3682065435,0.227488124991
849,-89.3690090296,0.22597626004
848,-89.3698115071,0.224465000183
847,-89.3706139758,0.222954345414
846,-89.371416436,0.221444295727
845,-89.3722188875,0.219934851115
844,-89.3730213304,0.218426011574
843,-89.3738237647,0.216917777097
842,-89.3746261904,0.215410147678
841,-89.3754286076,0.213903123311
840,-89.3762310163,0.21239670399
839,-89.3770334165,0.210890889708
838,-89.3778358081,0.209385680461
837,-89.3786381913,0.207881076242
836,-89.3794405661,0.206377077045
835,-89.3802429324,0.204873682864
834,-89.3810452904,0.203370893693
833,-89.3818476399,0.201868709526
832,-89.3826499811,0.200367130357
831,-89.3834523139,0.19886615618
830,-89.3842546384,0.197365786989
829,-89.3850569546,0.195866022778
828,-89.3858592625,0.194366863541
827,-89.3866615622,0.192868309272
826,-89.3874638536,0.191370359965
825,-89.3882661368,0.189873015614
824,-89.3890684117,0.188376276213
823,-89.3898706785,0.186880141756
822,-89.3906729371,0.185384612237
821,-89.3914751876,0.18388968765
820,-89.3922774299,0.18239536799
819,-89.3930796641,0.180901653249
818,-89.3938818903,0.179408543422
817,-89.3946841083,0.177916038503
816,-89.3954863184,0.176424138487
815,-89.3962885204,0.174932843366
814,-89.3970907143,0.173442153135
813,-89.3978929003,0.171952067789
812,-89.3986950784,0.17046258732
811,-89.3994972484,0.168973711724
810,-89.4002994106,0.167485440993
809,-89.4011015648,0.165997775123
808,-89.4019037111,0.164510714106
807,-89.4027058496,0.163024257938
806,-89.4035079802,0.161538406611
805,-89.404310103,0.160053160121
804,-89.4051122179,0.158568518461
803,-89.4059143251,0.157084481624
802,-89.4067164245,0.155601049606
801,-89.4075185161,0.1541182224
800,-89.4083206,0.152636
799,-89.4091226762,0.1511543824
798,-89.4099247446,0.149673369594
797,-89.4107268054,0.148192961576
796,-89.4115288586,0.14671315834
795,-89.4123309041,0.14523395988
794,-89.4131329419,0.14375536619
793,-89.4139349722,0.142277377265
792,-89.4147369949,0.140799993097
791,-89.41553901,0.139323213681
790,-89.4163410176,0.137847039011
789,-89.4171430176,0.136371469082
788,-89.4179450101,0.134896503886
787,-89.4187469952,0.133422143419
786,-89.4195489727,0.131948387674
785,-89.4203509429,0.130475236644
784,-89.4211529055,0.129002690325
783,-89.4219548608,0.12753074871
782,-89.4227568087,0.126059411792
781,-89.4235587492,0.124588679567
780,-89.4243606823,0.123118552028
779,-89.4251626081,0.121649029169
778,-89.4259645266,0.120180110984
777,-89.4267664378,0.118711797467
776,-89.4275683417,0.117244088613
775,-89.4283702383,0.115776984414
774,-89.4291721277,0.114310484865
773,-89.4299740099,0.11284458996
772,-89.4307758848,0.111379299694
771,-89.4315777526,0.109914614059
770,-89.4323796132,0.108450533051
